molecule_id,true_eb_eV,cheap_pred_eb_eV,b21_pred_eb_eV,cheap_abs_error_eV,b21_abs_error_eV,abs_error_delta_cheap_minus_b21_eV
D-144_A-111,0.7183572728487295,0.6588812,0.6498513,0.05947607284872958,0.0685059728487295,-0.009029899999999924
D-127_A-37,0.8046406912938651,0.8377513,0.79892826,0.033110608706134914,0.005712431293865117,0.027398177412269797
D-85_A-37,0.9627543947466244,0.9112072,0.9598168,0.05154719474662439,0.0029375947466243613,0.04860960000000003
D-153_A-123,0.7889747074979606,0.74037033,0.7290646,0.04860437749796065,0.05991010749796066,-0.011305730000000014
D-22_A-256,0.7361379700900365,0.85226715,0.84458923,0.11612917990996352,0.10845125990996352,0.007677920000000005
D-142_A-288,0.6349971347545914,0.59282213,0.54475546,0.04217500475459146,0.09024167475459144,-0.04806666999999998
D-166_A-153,0.6829746960471604,0.688659,0.7357167,0.005684303952839587,0.05274200395283957,-0.04705769999999998
D-127_A-174,0.5762438645086111,0.7209074,0.6010556,0.14466353549138888,0.02481173549138893,0.11985179999999995
D-135_A-319,0.6590597748778293,0.67434275,0.60477424,0.015282975122170694,0.05428553487782928,-0.03900255975565858
D-28_A-187,0.7736508097005771,0.8853275,0.8068954,0.11167669029942295,0.03324459029942295,0.0784321
D-7_A-135,0.7876841103217223,0.8030379,0.8290118,0.015353789678277718,0.04132768967827771,-0.025973899999999994
D-165_A-196,0.5203283531139979,0.64600253,0.54271317,0.12567417688600202,0.022384816886002024,0.10328936
D-30_A-108,0.7284410351233142,0.72228634,0.71535146,0.0061546951233141245,0.013089575123314101,-0.006934879999999977
D-166_A-83,0.7830426252963353,0.71168303,0.7631111,0.07135959529633529,0.01993152529633524,0.05142807000000005
D-127_A-140,0.7553025606889966,0.8453978,0.86991405,0.09009523931100338,0.1146114893110034,-0.024516250000000017
D-87_A-141,0.6310942444987383,0.7031549,0.7061087,0.07206065550126173,0.07501445550126173,-0.0029538000000000064
D-132_A-192,0.6436736796261693,0.799462,0.70502794,0.15578832037383072,0.06135426037383074,0.09443405999999999
D-140_A-318,0.6055544148364324,0.6824039,0.59038734,0.0768494851635676,0.015167074836432315,0.061682410327135284
D-7_A-219,0.8960864984439539,0.899209,0.9585612,0.003122501556046098,0.062474701556046064,-0.059352199999999966
D-101_A-186,0.6752466623532999,0.7492946,0.7211168,0.07404793764670015,0.045870137646700115,0.02817780000000003
D-153_A-112,0.6906249829231754,0.6629766,0.68024135,0.027648382923175396,0.010383632923175456,0.01726474999999994
D-136_A-236,0.7032199674141756,0.7750145,0.66640615,0.07179453258582447,0.036813817414175554,0.03498071517164891
D-117_A-109,0.6497223820545631,0.7781682,0.6801734,0.12844581794543686,0.03045101794543692,0.09799479999999994
D-7_A-367,1.119445331432808,1.087393,0.8012438,0.03205233143280806,0.31820153143280816,-0.2861492000000001
D-5_A-6,1.464625653304058,1.5324107,1.1110026,0.06778504669594199,0.3536230533040581,-0.2858380066081161
D-102_A-35,0.8715185040047191,0.87103575,0.80041635,0.00048275400471908814,0.07110215400471909,-0.0706194
D-127_A-338,0.8608360912327226,0.844449,0.87695,0.01638709123272264,0.016113908767277363,0.00027318246544527636
D-93_A-56,0.6829902454107296,0.61355245,0.5659267,0.06943779541072959,0.11706354541072961,-0.04762575000000002
D-28_A-38,1.1186678632543512,1.1114887,1.0835143,0.007179163254351195,0.03515356325435115,-0.027974399999999955
D-154_A-97,0.6026622332125731,0.6829829,0.75142384,0.08032066678742689,0.1487616067874269,-0.06844094
D-43_A-352,0.9160596559485092,0.90314406,0.9321115,0.012915595948509218,0.016051844051490738,-0.0031362481029815203
D-34_A-332,0.7572851045440615,0.84625566,0.8461591,0.08897055545593846,0.08887399545593855,9.655999999991227e-05
D-3_A-353,0.98631945523565,0.9614531,0.97407544,0.02486635523565006,0.012244015235649996,0.012622340000000065
D-164_A-115,0.7589177877188208,0.6300459,0.63939965,0.12887188771882074,0.1195181377188208,0.009353749999999939
D-23_A-261,0.6482762912426335,0.70084804,0.64951456,0.05257174875736648,0.0012382687573664342,0.05133348000000004
D-42_A-38,0.795536538924136,0.71119344,0.7169056,0.08434309892413605,0.07863093892413597,0.005712160000000077
D-3_A-17,1.3985641821805836,1.3623129,1.0552039,0.0362512821805836,0.3433602821805837,-0.3071090000000001
D-124_A-54,0.5727219336602017,0.62551343,0.6265919,0.052791496339798294,0.053869966339798236,-0.0010784699999999425
D-5_A-274,0.9038300815013836,0.8815795,1.1390148,0.022250581501383593,0.23518471849861644,-0.21293413699723285
D-94_A-189,0.9668050039563844,0.8490591,0.7810464,0.1177459039563844,0.18575860395638433,-0.06801269999999993
D-156_A-336,1.0112684090823287,0.8964809,1.0627763,0.11478750908232871,0.05150789091767116,0.06327961816465755
D-141_A-200,0.8181219895083061,0.8139217,0.7060212,0.004200289508306088,0.11210078950830604,-0.10790049999999995
D-113_A-209,0.8739053313125815,0.89074504,0.84880316,0.016839708687418464,0.025102171312581523,-0.008262462625163058
D-45_A-129,0.7678508970892893,0.7529494,0.632058,0.01490149708928934,0.13579289708928932,-0.12089139999999998
D-102_A-172,0.5165498577666979,0.61541057,0.60074115,0.09886071223330206,0.08419129223330202,0.014669420000000044
D-139_A-44,0.8554715608013707,0.82517636,0.8190317,0.030295200801370603,0.03643986080137063,-0.006144660000000024
D-30_A-132,0.6804401497853914,0.6464646,0.69481146,0.03397554978539141,0.01437131021460869,0.019604239570782722
D-100_A-316,0.6464259169779064,0.65975136,0.71835494,0.013325443022093597,0.07192902302209359,-0.05860357999999999
D-136_A-287,0.5475786127689087,0.6388155,0.55723345,0.09123688723109125,0.009654837231091284,0.08158204999999996
